,agent_id,reliability,total_payoff,,
0,0,1,19,,num_agents = 100
1,1,0,-31,,num_encounters = 3000
2,2,0,-37,,r_dist = 'bernoulli'
3,3,0,-26,,p_g = 1
4,4,0,-27,,p_b = -1
5,5,1,34,,alpha_direct = 0.1
6,6,0,-25,,alpha_indirect = 0.1
7,7,1,23,,
8,8,0,-27,,
9,9,1,37,,
10,10,0,-34,,
11,11,0,-40,,
12,12,1,32,,
13,13,0,-31,,
14,14,0,-36,,
15,15,1,35,,
16,16,0,-36,,
17,17,1,23,,
18,18,0,-30,,
19,19,1,21,,
20,20,1,45,,
21,21,0,-27,,
22,22,0,-35,,
23,23,1,7,,
24,24,0,-34,,
25,25,0,-38,,
26,26,1,28,,
27,27,1,34,,
28,28,1,32,,
29,29,1,34,,
30,30,0,-22,,
31,31,1,29,,
32,32,0,-35,,
33,33,1,39,,
34,34,0,-43,,
35,35,0,-27,,
36,36,1,31,,
37,37,0,-22,,
38,38,1,28,,
39,39,0,-36,,
40,40,0,-15,,
41,41,1,46,,
42,42,0,-32,,
43,43,0,-41,,
44,44,0,-35,,
45,45,0,-37,,
46,46,1,26,,
47,47,0,-26,,
48,48,1,35,,
49,49,0,-19,,
50,50,1,26,,
51,51,0,-34,,
52,52,0,-37,,
53,53,0,-42,,
54,54,0,-21,,
55,55,1,31,,
56,56,0,-33,,
57,57,1,33,,
58,58,1,29,,
59,59,0,-28,,
60,60,1,38,,
61,61,0,-29,,
62,62,1,42,,
63,63,0,-33,,
64,64,0,-19,,
65,65,1,21,,
66,66,1,35,,
67,67,0,-36,,
68,68,1,36,,
69,69,1,32,,
70,70,0,-37,,
71,71,0,-34,,
72,72,0,-42,,
73,73,0,-39,,
74,74,1,18,,
75,75,1,28,,
76,76,1,27,,
77,77,1,22,,
78,78,1,27,,
79,79,0,-31,,
80,80,0,-30,,
81,81,1,26,,
82,82,1,14,,
83,83,0,-34,,
84,84,1,36,,
85,85,0,-22,,
86,86,1,20,,
87,87,1,35,,
88,88,0,-30,,
89,89,1,28,,
90,90,1,22,,
91,91,0,-42,,
92,92,0,-22,,
93,93,1,23,,
94,94,0,-34,,
95,95,0,-32,,
96,96,1,23,,
97,97,1,39,,
98,98,1,26,,
99,99,1,18,,